open_time,open,close,high,low
2021-02-08,1669.75,1751.75,1793.25,1604.5
2021-02-09,1740.0,1797.25,1858.75,1740.0
2021-02-10,1787.5,1728.5,1869.5,1700.0
2021-02-11,1774.0,1778.0,1839.75,1728.0
2021-02-12,1793.75,1868.25,1879.75,1763.0
2021-02-16,1868.25,1756.5,1868.25,1674.5
2021-02-17,1770.25,1840.25,1866.5,1740.0
2021-02-18,1840.75,1943.25,1960.25,1840.25
2021-02-19,1943.5,1960.75,1981.5,1897.75
2021-02-22,1967.0,1774.0,1967.0,1567.25
2021-02-23,1779.75,1527.25,1779.75,1371.0
2021-02-24,1556.0,1611.5,1711.0,1513.75
2021-02-25,1593.5,1576.25,1662.5,1528.0
2021-02-26,1500.0,1520.66,1539.0,1415.0
2021-03-01,1436.75,1526.0,1570.5,1413.5
2021-03-02,1560.0,1479.25,1610.75,1472.0
2021-03-03,1483.25,1588.5,1669.5,1483.25
2021-03-04,1596.25,1536.75,1638.0,1512.75
2021-03-05,1529.5,1541.5,1554.25,1446.75
2021-03-08,1613.5,1786.25,1807.0,1613.5
2021-03-09,1811.25,1846.5,1872.0,1811.25
2021-03-10,1846.5,1818.0,1893.75,1768.75
2021-03-11,1840.0,1824.0,1859.5,1735.5
2021-03-12,1853.0,1751.0,1857.75,1729.75
2021-03-15,1862.0,1794.25,1911.75,1743.5
2021-03-16,1808.0,1795.75,1825.0,1722.5
2021-03-17,1800.25,1836.5,1848.75,1748.5
2021-03-18,1835.25,1774.0,1859.0,1762.75
2021-03-19,1784.75,1831.75,1843.0,1733.0
2021-03-22,1810.0,1741.5,1813.5,1674.5
2021-03-23,1670.5,1706.5,1722.75,1648.75
2021-03-24,1664.0,1635.5,1743.75,1585.5
2021-03-25,1584.0,1607.5,1621.75,1552.5
2021-03-26,1606.0,1641.02,1650.0,1579.25
2021-03-29,1699.0,1835.25,1863.75,1695.75
2021-03-30,1831.5,1876.0,1876.0,1805.75
2021-03-31,1863.25,1926.25,1966.75,1798.75
2021-04-01,1957.25,2002.0,2010.75,1908.5
2021-04-02,1984.5,2002.0,2042.5,1975.0
2021-04-05,2092.5,2130.0,2158.5,2028.25
2021-04-06,2137.5,2135.25,2185.5,2067.25
2021-04-07,2130.75,1989.25,2151.0,1945.0
2021-04-08,2007.75,2072.5,2094.75,1960.0
2021-04-09,2067.75,2092.0,2122.25,2065.25
2021-04-12,2146.0,2166.5,2230.25,2128.25
2021-04-13,2169.5,2327.0,2345.0,2163.5
2021-04-14,2318.5,2346.75,2434.75,2300.0
2021-04-15,2411.75,2505.0,2527.5,2411.75
2021-04-16,2524.75,2449.0,2572.75,2317.0
