timestamp funding_rate open_time
"2021-11-24 20:00:00" 0.0001 "2021-11-24 20:00:00"
"2021-11-25 04:00:00" 0.0001 "2021-11-25 04:00:00"
"2021-11-25 12:00:00" 0.0001 "2021-11-25 12:00:00"
"2021-11-25 20:00:00" 0.0001 "2021-11-25 20:00:00"
"2021-11-26 04:00:00" 0.0001 "2021-11-26 04:00:00"
"2021-11-26 12:00:00" 0.0001 "2021-11-26 12:00:00"
"2021-11-26 20:00:00" 0.0001 "2021-11-26 20:00:00"
"2021-11-27 04:00:00" 0.0001 "2021-11-27 04:00:00"
"2021-11-27 12:00:00" 0.0001 "2021-11-27 12:00:00"
"2021-11-27 20:00:00" 0.0001 "2021-11-27 20:00:00"
"2021-11-28 04:00:00" 0.0001 "2021-11-28 04:00:00"
"2021-11-28 12:00:00" 0.0001 "2021-11-28 12:00:00"
"2021-11-28 20:00:00" 0.0001 "2021-11-28 20:00:00"
"2021-11-29 04:00:00" 0.0001 "2021-11-29 04:00:00"
"2021-11-29 12:00:00" 0.0001 "2021-11-29 12:00:00"
"2021-11-29 20:00:00" 0.0001 "2021-11-29 20:00:00"
"2021-11-30 04:00:00" 0.0001 "2021-11-30 04:00:00"
"2021-11-30 12:00:00" 0.0001 "2021-11-30 12:00:00"
"2021-11-30 20:00:00" 0.0001 "2021-11-30 20:00:00"
"2021-12-01 04:00:00" 0.0001 "2021-12-01 04:00:00"
"2021-12-01 12:00:00" 0.0001 "2021-12-01 12:00:00"
"2021-12-01 20:00:00" 0.0001 "2021-12-01 20:00:00"
"2021-12-02 04:00:00" 0.0001 "2021-12-02 04:00:00"
"2021-12-02 12:00:00" 0.0001 "2021-12-02 12:00:00"
"2021-12-02 20:00:00" 0.0001 "2021-12-02 20:00:00"
"2021-12-03 04:00:00" 0.0001 "2021-12-03 04:00:00"
"2021-12-03 12:00:00" 0.0001 "2021-12-03 12:00:00"
"2021-12-03 20:00:00" 0.0001 "2021-12-03 20:00:00"
"2021-12-04 04:00:00" 0.0001 "2021-12-04 04:00:00"
"2021-12-04 12:00:00" 0.0001 "2021-12-04 12:00:00"
"2021-12-04 20:00:00" 0.0001 "2021-12-04 20:00:00"
"2021-12-05 04:00:00" 0.0001 "2021-12-05 04:00:00"
"2021-12-05 12:00:00" 0.0001 "2021-12-05 12:00:00"
"2021-12-05 20:00:00" 0.0001 "2021-12-05 20:00:00"
"2021-12-06 04:00:00" 0.0001 "2021-12-06 04:00:00"
"2021-12-06 12:00:00" 0.0001 "2021-12-06 12:00:00"
"2021-12-06 20:00:00" 0.0001 "2021-12-06 20:00:00"
"2021-12-07 04:00:00" 0.0001 "2021-12-07 04:00:00"
"2021-12-07 12:00:00" 0.0001 "2021-12-07 12:00:00"
"2021-12-07 20:00:00" 0.0001 "2021-12-07 20:00:00"
"2021-12-08 04:00:00" 0.0001 "2021-12-08 04:00:00"
"2021-12-08 12:00:00" 0.0001 "2021-12-08 12:00:00"
"2021-12-08 20:00:00" 0.0001 "2021-12-08 20:00:00"
"2021-12-09 04:00:00" 0.0001 "2021-12-09 04:00:00"
"2021-12-09 12:00:00" 0.0001 "2021-12-09 12:00:00"
"2021-12-09 20:00:00" 0.0001 "2021-12-09 20:00:00"
"2021-12-10 04:00:00" 0.0001 "2021-12-10 04:00:00"
"2021-12-10 12:00:00" 0.0001 "2021-12-10 12:00:00"
"2021-12-10 20:00:00" 0.0001 "2021-12-10 20:00:00"
"2021-12-11 04:00:00" 0.0001 "2021-12-11 04:00:00"
"2021-12-11 12:00:00" 0.0001 "2021-12-11 12:00:00"
"2021-12-11 20:00:00" 0.0001 "2021-12-11 20:00:00"
"2021-12-12 04:00:00" 0.0001 "2021-12-12 04:00:00"
"2021-12-12 12:00:00" 0.0001 "2021-12-12 12:00:00"
"2021-12-12 20:00:00" 0.0001 "2021-12-12 20:00:00"
"2021-12-13 04:00:00" 0.0001 "2021-12-13 04:00:00"
"2021-12-13 12:00:00" 0.0001 "2021-12-13 12:00:00"
"2021-12-13 20:00:00" 0.0001 "2021-12-13 20:00:00"
"2021-12-14 04:00:00" 0.0001 "2021-12-14 04:00:00"
"2021-12-14 12:00:00" 0.0001 "2021-12-14 12:00:00"
"2021-12-14 20:00:00" 0.0001 "2021-12-14 20:00:00"
"2021-12-15 04:00:00" 0.0001 "2021-12-15 04:00:00"
"2021-12-15 12:00:00" 0.0001 "2021-12-15 12:00:00"
"2021-12-15 20:00:00" 0.0001 "2021-12-15 20:00:00"
"2021-12-16 04:00:00" 0.0001 "2021-12-16 04:00:00"
"2021-12-16 12:00:00" 0.0001 "2021-12-16 12:00:00"
"2021-12-16 20:00:00" 0.0001 "2021-12-16 20:00:00"
"2021-12-17 04:00:00" 0.0001 "2021-12-17 04:00:00"
"2021-12-17 12:00:00" 0.0001 "2021-12-17 12:00:00"
"2021-12-17 20:00:00" 0.0001 "2021-12-17 20:00:00"
"2021-12-18 04:00:00" 0.0001 "2021-12-18 04:00:00"
"2021-12-18 12:00:00" 0.0001 "2021-12-18 12:00:00"
"2021-12-18 20:00:00" 0.0001 "2021-12-18 20:00:00"
"2021-12-19 04:00:00" 0.0001 "2021-12-19 04:00:00"
"2021-12-19 12:00:00" 0.0001 "2021-12-19 12:00:00"
"2021-12-19 20:00:00" 0.0001 "2021-12-19 20:00:00"
"2021-12-20 04:00:00" 0.0001 "2021-12-20 04:00:00"
"2021-12-20 12:00:00" 0.0001 "2021-12-20 12:00:00"
