timestamp funding_rate open_time
"2021-11-10 12:00:00" 0.0001 "2021-11-10 12:00:00"
"2021-11-10 20:00:00" 0.0001 "2021-11-10 20:00:00"
"2021-11-11 04:00:00" 0.0001 "2021-11-11 04:00:00"
"2021-11-11 12:00:00" 0.0001 "2021-11-11 12:00:00"
"2021-11-11 20:00:00" 0.0001 "2021-11-11 20:00:00"
"2021-11-12 04:00:00" 0.0001 "2021-11-12 04:00:00"
"2021-11-12 12:00:00" 0.0001 "2021-11-12 12:00:00"
"2021-11-12 20:00:00" 0.00014 "2021-11-12 20:00:00"
"2021-11-13 04:00:00" 0.0001 "2021-11-13 04:00:00"
"2021-11-13 12:00:00" 0.0001 "2021-11-13 12:00:00"
"2021-11-13 20:00:00" 0.0001 "2021-11-13 20:00:00"
"2021-11-14 04:00:00" 0.0001 "2021-11-14 04:00:00"
"2021-11-14 12:00:00" 0.0001 "2021-11-14 12:00:00"
"2021-11-14 20:00:00" 0.0001 "2021-11-14 20:00:00"
"2021-11-15 04:00:00" 0.0001 "2021-11-15 04:00:00"
"2021-11-15 12:00:00" 0.0001 "2021-11-15 12:00:00"
"2021-11-15 20:00:00" 0.0001 "2021-11-15 20:00:00"
"2021-11-16 04:00:00" 0.0001 "2021-11-16 04:00:00"
"2021-11-16 12:00:00" 0.0001 "2021-11-16 12:00:00"
"2021-11-16 20:00:00" 0.0001 "2021-11-16 20:00:00"
"2021-11-17 04:00:00" 0.0001 "2021-11-17 04:00:00"
"2021-11-17 12:00:00" 0.0001 "2021-11-17 12:00:00"
"2021-11-17 20:00:00" 0.0001 "2021-11-17 20:00:00"
"2021-11-18 04:00:00" 0.0001 "2021-11-18 04:00:00"
"2021-11-18 12:00:00" 0.0001 "2021-11-18 12:00:00"
"2021-11-18 20:00:00" 0.0001 "2021-11-18 20:00:00"
"2021-11-19 04:00:00" 0.0001 "2021-11-19 04:00:00"
"2021-11-19 12:00:00" 0.0001 "2021-11-19 12:00:00"
"2021-11-19 20:00:00" 0.0001 "2021-11-19 20:00:00"
"2021-11-20 04:00:00" 0.0001 "2021-11-20 04:00:00"
"2021-11-20 12:00:00" 0.0001 "2021-11-20 12:00:00"
"2021-11-20 20:00:00" 0.0001 "2021-11-20 20:00:00"
"2021-11-21 04:00:00" 0.0001 "2021-11-21 04:00:00"
"2021-11-21 12:00:00" 0.0001 "2021-11-21 12:00:00"
"2021-11-21 20:00:00" 0.0001 "2021-11-21 20:00:00"
"2021-11-22 04:00:00" 0.0001 "2021-11-22 04:00:00"
"2021-11-22 12:00:00" 0.0001 "2021-11-22 12:00:00"
"2021-11-22 20:00:00" 0.0001 "2021-11-22 20:00:00"
"2021-11-23 04:00:00" 0.0001 "2021-11-23 04:00:00"
"2021-11-23 12:00:00" 0.0001 "2021-11-23 12:00:00"
"2021-11-23 20:00:00" 0.0001 "2021-11-23 20:00:00"
"2021-11-24 04:00:00" 0.0001 "2021-11-24 04:00:00"
"2021-11-24 12:00:00" 0.0001 "2021-11-24 12:00:00"
